,Apple,Banana,Burger,Donut,Ice Cream,Pasta,Pizza,Salad,Steak,Sushi
Apple,293,4,0,0,0,0,0,0,0,0
Banana,8,231,0,0,0,0,0,0,0,0
Burger,0,0,952,4,0,0,32,0,0,0
Donut,0,0,3,889,0,0,1,0,0,0
Ice Cream,0,0,0,0,593,0,0,0,0,1
Pasta,0,0,4,1,0,789,1,0,0,0
Pizza,0,0,24,0,0,0,1159,0,0,0
Salad,1,0,0,0,0,0,0,198,0,0
Steak,0,0,0,0,1,0,0,0,397,0
Sushi,0,0,0,0,3,0,0,0,0,689
