Model,Accuracy
Logistic Regression,0.9910799617712648
Decision Tree,0.9859827970691303
Random Forest,0.9921949665498566
KNN,0.9906021025804397
SVM,0.9944249761070405
XGBoost,0.9928321121376235
Gradient Boosting,0.9934692577253903
