,Apple,Banana,Burger,Donut,Ice Cream,Pasta,Pizza,Salad,Steak,Sushi
Apple,291,6,0,0,0,0,0,0,0,0
Banana,5,234,0,0,0,0,0,0,0,0
Burger,0,0,970,0,0,4,14,0,0,0
Donut,0,0,1,889,0,3,0,0,0,0
Ice Cream,0,0,0,0,594,0,0,0,0,0
Pasta,0,0,4,0,0,791,0,0,0,0
Pizza,0,0,12,0,0,4,1167,0,0,0
Salad,0,1,0,0,0,0,0,198,0,0
Steak,0,0,0,0,0,0,0,0,397,1
Sushi,0,0,0,0,1,0,0,0,0,691
