,Apple,Banana,Burger,Donut,Ice Cream,Pasta,Pizza,Salad,Steak,Sushi
Apple,292,3,0,0,0,0,0,1,1,0
Banana,1,236,0,0,0,0,0,0,0,2
Burger,0,0,963,1,0,0,24,0,0,0
Donut,0,0,2,889,0,1,1,0,0,0
Ice Cream,0,0,0,0,593,0,0,0,0,1
Pasta,0,0,4,1,0,789,1,0,0,0
Pizza,0,0,9,0,0,1,1173,0,0,0
Salad,1,0,0,0,0,0,0,198,0,0
Steak,0,0,0,0,1,0,0,0,397,0
Sushi,0,0,0,0,2,0,0,0,1,689
