,Apple,Banana,Burger,Donut,Ice Cream,Pasta,Pizza,Salad,Steak,Sushi
Apple,295,2,0,0,0,0,0,0,0,0
Banana,3,234,0,0,0,0,0,2,0,0
Burger,0,0,975,1,0,4,8,0,0,0
Donut,0,0,0,888,0,2,3,0,0,0
Ice Cream,0,0,0,0,593,0,0,0,0,1
Pasta,0,0,0,2,0,790,3,0,0,0
Pizza,0,0,3,0,0,3,1177,0,0,0
Salad,0,0,0,0,0,0,0,199,0,0
Steak,0,0,0,0,1,0,0,0,397,0
Sushi,0,0,0,0,3,0,0,0,0,689
