,Apple,Banana,Burger,Donut,Ice Cream,Pasta,Pizza,Salad,Steak,Sushi
Apple,293,3,0,0,0,0,0,1,0,0
Banana,3,236,0,0,0,0,0,0,0,0
Burger,0,0,974,4,0,0,10,0,0,0
Donut,0,0,2,889,0,0,2,0,0,0
Ice Cream,0,0,0,0,593,0,0,0,0,1
Pasta,0,0,4,0,0,789,2,0,0,0
Pizza,0,0,10,0,0,2,1171,0,0,0
Salad,0,1,0,0,0,0,0,198,0,0
Steak,0,0,0,0,1,0,0,0,397,0
Sushi,0,0,0,0,2,0,0,0,1,689
